,,,final exam,,,
total student,class,gred,bm,eng,math,sains
30,ARKID,A,25,27,17,20
,,B,4,2,9,6
,,C,1,-,3,4
,,D,-,1,1,-
,,E,-,-,-,-
,,F,-,-,-,-
33,BAIDURI,A,20,21,15,10
,,B,11,11,7,6
,,C,2,1,1,1
,,D,-,-,7,15
,,E,-,-,3,1
,,F,-,-,-,-
33,DELIMA,A,11,7,8,4
,,B,13,6,9,3
,,C,4,2,3,7
,,D,3,5,7,11
,,E,2,13,2,8
,,F,-,-,4,-
32,MUTIARA,A,10,6,-,2
,,B,-,1,3,12
,,C,12,10,4,5
,,D,4,12,-,7
,,E,6,2,15,5
,,F,-,1,10,1
33,NILAM,A,6,3,1,7
,,B,2,5,-,3
,,C,3,-,1,3
,,D,9,2,9,5
,,E,11,15,15,11
,,F,2,8,7,4
29,ZAMRUD,A,1,-,-,3
,,B,8,5,2,15
,,C,9,6,7,5
,,D,3,11,2,1
,,E,4,7,10,2
,,F,4,-,8,3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,bm,eng,math,sains
,total student ,A,73,64,41,46
,,B,38,30,30,45
,,C,31,19,19,25
,,D,19,31,26,39
,,E,23,37,45,27
,,F,6,9,29,8
,,,,,,
,,,190,190,190,190
